freq,rn,nfmin,sopt,s11,s12,s21,s22
927500000.0000000000,5.8836785950,0.0582563414,0.8928949041 / 5.7201401115,0.9448764489 / -15.1016369961,0.0183969636 / 92.3045126672,9.4804660909 / 155.5595026787,0.2474697050 / 22.4917171392
934000000.0000000000,5.8833348904,0.0583647763,0.8927031624 / 5.7600833250,0.9442184420 / -15.1975488885,0.0185388593 / 92.3161208580,9.4728773466 / 155.4006161505,0.2481800336 / 22.5255234651
940500000.0000000000,5.8829837719,0.0584737567,0.8925103942 / 5.8000263614,0.9435574994 / -15.2932780178,0.0186809717 / 92.3273526695,9.4652573873 / 155.2419325033,0.2488905533 / 22.5581235765
947000000.0000000000,5.8826252593,0.0585832800,0.8923166049 / 5.8399692479,0.9428936475 / -15.3888237871,0.0188233008 / 92.3382106124,9.4576064926 / 155.0834523325,0.2496012267 / 22.5895297896
953500000.0000000000,5.8822593720,0.0586933431,0.8921217997 / 5.8799120116,0.9422269127 / -15.4841856085,0.0189658468 / 92.3486971609,9.4499249419 / 154.9251762255,0.2503120169 / 22.6197543528
960000000.0000000000,5.8818861291,0.0588039433,0.8919259838 / 5.9198546795,0.9415573213 / -15.5793629036,0.0191086095 / 92.3588147535,9.4422130149 / 154.7671047610,0.2510228874 / 22.6488094443
966500000.0000000000,5.8815055495,0.0589150778,0.8917291624 / 5.9597972784,0.9408848997 / -15.6743551032,0.0192515890 / 92.3685657950,9.4344709911 / 154.6092385098,0.2517338025 / 22.6767071710
973000000.0000000000,5.8811176518,0.0590267438,0.8915313406 / 5.9997398350,0.9402096742 / -15.7691616474,0.0193947854 / 92.3779526578,9.4266991498 / 154.4515780342,0.2524447265 / 22.7034595674
979500000.0000000000,5.8807224542,0.0591389384,0.8913325238 / 6.0396823760,0.9395316710 / -15.8637819856,0.0195381986 / 92.3869776837,9.4188977705 / 154.2941238882,0.2531556246 / 22.7290785941
986000000.0000000000,5.8803199750,0.0592516588,0.8911327170 / 6.0796249278,0.9388509166 / -15.9582155760,0.0196818285 / 92.3956431844,9.4110671323 / 154.1368766176,0.2538664623 / 22.7535761364
992500000.0000000000,5.8799102318,0.0593649022,0.8909319253 / 6.1195675168,0.9381674371 / -16.0524618866,0.0198256752 / 92.4039514436,9.4032075145 / 153.9798367598,0.2545772055 / 22.7769640037
